,,,,,,,,,
,Bill of Materials,,,,,,,,
,,,,,,,2175 Salk Avenue,,
,Project Title:,Bill of Materials for BOM Document [Motor_Controller_PowerSupply.BomDoc],,,,,Suite 200,,
,Project File Name:,Motor_Controller_PS.PrjPcb,,,,,"Carlsbad, CA 92008",,
,Assembly Variant: ,None,,,,,USA,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Part Number,Description,Designator,Manufacture,Manufacture Part Number,Supplier,Supplier Part Number,Supplier Unit Price,Quantity,
DesignItemId,Description,Designator,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Quantity,
LT1370CR#PBF,12V Boost Converter,Boost Converter,Analog Devices / Linear Technology,LT1370CR#PBF,Digikey,505-LT1370CR#PBF-ND,$19.50,1,
CMP-2007-04425-2,"General Purpose Ceramic Capacitor, 0805, 47nF, 5%, X7R, 0.15, 50V","C1, C2",Kyocera AVX,08055C473JAT2A,Newark,96M1415,$0.03,2,
2220Y2K00104KXRWS3,Capacitor,C1Hall,Knowles Syfer,2220Y1K00104KSTM01,Digikey,1608-2220Y1K00104KSTM01CT-ND,$4.02,1,
C1812C472KGRACAUTO,Capacitor,C2Hall,KEMET,C1812C472KGRACAUTO,Digikey,399-16791-1-ND,$0.78,1,
CMP-03017-000047-1,CAP TANT 1UF 10% 25V 1206,C3,KEMET,T491A105K025AT,Digikey,399-3680-1-ND,$0.42,1,
UWP1HR22MCL1GB,Capacitor Polarised,"CL, Cp1, Cp4",Nichicon,UWP1HR22MCL1GB,Digikey,493-9831-1-ND,$0.63,3,
GRM033R61C473KE84D,Capacitor,Cp2,Murata,GRM033R61C473KE84D,Digikey,490-7227-1-ND,$0.10,1,
GRM033R71A472KA01D,Capacitor,Cp3,Murata,GRM033R71A472KA01D,Digikey,490-3192-1-ND,$0.10,1,
8.65231E+11,Capacitor Polarised,Cp5,Wurth Electronics,8.65231E+11,Digikey,732-8269-1-ND,$0.18,1,
MBRD835L,Diode,Diode,ON Semiconductor,MBRD835LT4G,Digikey,MBRD835LT4GOSCT-ND,$1.01,1,
CMP-05716-000008-1,IC GATE DRVR HIGH-SIDE 18SOIC,FETDriver,Maxim,MAX620CWN+,Digikey,MAX620CWN+-ND,$14.07,1,
CMP-04776-000084-1,CONN HEADER VERT 3POS 2.54MM,"HallEffect, Servo",Molex,90120-0763,Digikey,WM8085-ND,$1.05,2,
67996-416HLF,CONN HEADER 16POS .100 STR TIN,"J1, J9",Amphenol Communications Solutions,67996-416HLF,Digikey,609-3220-ND,$0.67,2,
67996-420HLF,CONN HEADER 20POS .100 STR TIN,J2,Amphenol ICC / FCI,67996-420HLF,Digikey,609-3221-ND,$0.71,1,
67996-416HLF,CONN HEADER 16POS .100 STR TIN,"J3, J7",,,Octopart,Mouser - 649-67996-416HLF,,2,
67996-412HLF,CONN HEADER 12POS .100 STR TIN,J4,,,Octopart,Mouser - 649-67996-412HLF,,1,
282857-2,TERM BLOCK 2POS SIDE ENT 5.08MM,"J5, Motor",TE Connectivity,282857-2,Digikey,A98359-ND,$2.07,2,
67996-420HLF,CONN HEADER 20POS .100 STR TIN,J6,,,Octopart,Mouser - 649-67996-420HLF,,1,
67996-412HLF,CONN HEADER 12POS .100 STR TIN,J10,Amphenol ICC / FCI,67996-412HLF,Digi-Key,609-3219-ND,,1,
ETQ-P4M4R7KFM,Inductor,L1,Panasonic,ETQ-P4M4R7KFM,Digikey,P124173CT-ND,$0.82,1,
61300511121,Connector,LineCamera,Wurth Electronics,61300511121,Digikey,732-5318-ND,$0.24,1,
CMP-04962-000068-1,MOSFET N-CH 30V 24A/100A 8VSON,"Q1, Q2",Texas Instruments,CSD17306Q5A,Digikey,296-25856-1-ND,$1.70,2,
CMP-07231-003873-1,Thick Film Chip Resistors 0805 10kΩ 0.125W 5% 200ppm/°C ,"R1, R2, R3, R4, R5",Bourns,CR0805-JW-103ELF,Digikey,CR0805-JW-103ELFCT-ND,$0.02,5,
LM2940IMPX-5.0_NOPB,Integrated Circuit,Regulator,TI National Semiconductor,LM2940IMPX-5.0/NOPB,Digikey,LM2940IMPX-5.0/NOPBCT-ND,$1.63,1,
RC0402JR-0710KL,Resistor,RHall,Yageo,RC0402JR-0710KL,Digikey,311-10KJRDKR-ND,$0.10,1,
ERJ-2RKF5902X,Resistor,Rp1,Panasonic,ERJ-2RKF5902X,Digikey,P59.0KLCT-ND,$0.10,1,
RC0603FR-106K8L,Resistor,Rp2,Yageo,RC0603FR-106K8L,Digikey,13-RC0603FR-106K8LCT-ND,$0.10,1,
ERJ-2RKF2001X,Resistor,Rp3,Panasonic,ERJ-2RKF2001X,Digikey,P2.00KLDKR-ND,$0.10,1,
,,,,,,,$50.16,40,
,,,,,,,,,
Approved,,Notes,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
